               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.014528,            0.025539,            0.001455,             0.99393,             0.98843,               0.994,             0.94355,            0.011207,            0.021695,           0.0011213,            0.001882,            0.001882,            0.001882
                  84,             0.01476,            0.026009,           0.0015153,             0.99281,             0.98698,             0.99381,             0.95042,            0.011043,            0.021862,           0.0011638,            0.001783,            0.001783,            0.001783
                  85,            0.014407,            0.025302,           0.0015824,             0.99346,             0.98943,             0.99394,              0.9441,            0.011202,             0.02181,           0.0011714,            0.001684,            0.001684,            0.001684
                  86,             0.01425,            0.024377,            0.001475,             0.99162,              0.9874,             0.99397,             0.94703,            0.010862,            0.020828,            0.001146,            0.001585,            0.001585,            0.001585
                  87,            0.014241,            0.024948,           0.0014072,             0.99332,             0.98953,             0.99407,             0.94825,            0.010824,            0.021023,           0.0010945,            0.001486,            0.001486,            0.001486
                  88,            0.014478,            0.024874,           0.0013932,             0.99346,             0.98903,             0.99404,             0.94364,            0.011252,            0.021668,           0.0010749,            0.001387,            0.001387,            0.001387
                  89,            0.014331,            0.026596,           0.0014681,             0.99014,             0.98812,             0.99382,             0.94446,            0.011026,            0.021299,           0.0011501,            0.001288,            0.001288,            0.001288
                  90,            0.013659,            0.025095,           0.0013852,             0.99113,             0.98906,             0.99392,             0.95226,            0.010794,            0.020742,           0.0011508,            0.001189,            0.001189,            0.001189
                  91,            0.013382,            0.022796,           0.0012908,             0.99286,             0.98975,             0.99394,             0.95088,            0.010662,            0.020254,           0.0011233,             0.00109,             0.00109,             0.00109
                  92,            0.013807,            0.025097,           0.0014454,             0.99352,             0.98878,             0.99388,             0.95395,            0.010597,            0.020116,            0.001105,            0.000991,            0.000991,            0.000991
                  93,            0.013636,             0.02424,           0.0013766,             0.99315,             0.98843,             0.99385,             0.95368,            0.010428,            0.019793,           0.0010981,            0.000892,            0.000892,            0.000892
                  94,             0.01383,            0.024625,           0.0013979,             0.98842,             0.98832,             0.99374,             0.95621,            0.010358,            0.020032,           0.0011695,            0.000793,            0.000793,            0.000793
                  95,            0.013317,             0.02326,           0.0012581,             0.99164,             0.98864,             0.99382,             0.95176,            0.010401,            0.019831,           0.0011195,            0.000694,            0.000694,            0.000694
                  96,            0.013124,            0.023658,           0.0012439,             0.99333,             0.98935,             0.99393,             0.95492,            0.010423,            0.020638,           0.0010417,            0.000595,            0.000595,            0.000595
                  97,            0.013525,            0.024609,           0.0013997,             0.99331,              0.9893,             0.99384,             0.95475,            0.010394,            0.020734,           0.0010286,            0.000496,            0.000496,            0.000496
                  98,            0.013354,            0.024564,             0.00136,             0.99334,             0.98938,             0.99383,             0.95782,            0.010294,                0.02,           0.0010379,            0.000397,            0.000397,            0.000397
                  99,            0.012908,            0.023383,           0.0012405,             0.99385,              0.9889,             0.99385,             0.95699,            0.010279,            0.019884,            0.001051,            0.000298,            0.000298,            0.000298
